Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location
251334,CHOCTAW REGIONAL MEDICAL CENTER,8613 MS HWY 12,ACKERMAN,MS,"AAA39735",CHOCTAW,(662) 285-4400,Critical Access Hospitals,Government - Local,true,NULL,NULL,16,NULL,5,NULL,16,NULL,5,NULL,16,NULL,16,NULL,5,NULL,5,POINT (-89.182304 33.318465)
263301,ST LOUIS CHILDRENS HOSPITAL,ONE CHILDRENS PLACE,SAINT LOUIS,MO,"AAA63110",ST. LOUIS CITY,(314) 454-6000,Childrens,Voluntary non-profit - Other,true,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19
304000,NEW HAMPSHIRE HOSP-PSYCH UNIT,36 CLINTON STREET,CONCORD,NH,"AAA03301",MERRIMACK,(603) 271-5300,Psychiatric,Government - State,true,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,POINT (-71.543572 43.193245)
321304,UNION COUNTY GENERAL HOSPITAL,300 WILSON STREET,CLAYTON,NM,"AAA88415",UNION,(575) 374-7001,Critical Access Hospitals,Voluntary non-profit - Other,true,true,NULL,16,NULL,5,NULL,16,NULL,5,NULL,16,NULL,16,NULL,16,NULL,5,POINT (-103.19326 36.455169)
340132,MARIA PARHAM MEDICAL CENTER,PO BOX 59,HENDERSON,NC,"AAA27536",VANCE,(252) 431-3708,Acute Care Hospitals,Proprietary,true,true,2,NULL,0,NULL,0,NULL,-1,NULL,-1,NULL,0,NULL,-1,NULL,0,NULL
340156,CHEROKEE INDIAN HOSPITAL AUTHORITY,CALLER BOX C268,CHEROKEE,NC,"AAA28719",SWAIN,(704) 497-9163,Acute Care Hospitals,Government - Federal,true,NULL,NULL,16,NULL,5,NULL,5,NULL,5,NULL,16,NULL,5,NULL,5,NULL,16
341320,ALLEGHANY COUNTY MEMORIAL HOSPITAL,617 DOCTORS STREET,SPARTA,NC,"AAA28675",ALLEGHANY,(336) 372-5511,Critical Access Hospitals,Voluntary non-profit - Private,true,NULL,2,NULL,NULL,5,NULL,16,-1,NULL,NULL,16,NULL,5,1,NULL,0,NULL
363303,AKRON CHILDREN'S HOSPITAL,1 PERKINS SQUARE,AKRON,OH,"AAA44308",SUMMIT,(330) 543-1000,Childrens,Voluntary non-profit - Private,false,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,POINT (-81.526789 41.078421)
371311,JEFFERSON COUNTY HOSPITAL,INTERSECTION HYWS 81 & 70,WAURIKA,OK,"AAA73573",JEFFERSON,(580) 228-2344,Critical Access Hospitals,Voluntary non-profit - Private,true,true,NULL,16,NULL,16,NULL,16,NULL,16,NULL,16,NULL,5,NULL,5,NULL,16
400098,HOSPITAL SAN FRANCISCO,371 DE DIEGO AVE,SAN JUAN,PR,"AAA00923",SAN JUAN,(787) 767-5100,Acute Care Hospitals,Proprietary,true,true,NULL,16,NULL,5,NULL,5,NULL,5,NULL,16,NULL,5,NULL,5,NULL,16
50014F,NH Oak Harbor,3475 North Saratoga Street,Oak Harbor,WA,"AAA98277",ISLAND,(360) 257-9500,Acute Care - Department of Defense,Department of Defense,false,NULL,NULL,22,NULL,22,NULL,22,NULL,22,NULL,22,NULL,22,NULL,22,NULL,22,POINT (-122.680142 48.336875)
504012,SMOKEY POINT BEHAVIORAL HOSPITAL,3955 156TH ST NE,MARYSVILLE,WA,"AAA98271",SNOHOMISH,(212) 243-5565,Psychiatric,Proprietary,false,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19
210016,ADVENTIST HEALTHCARE WHITE OAK MEDICAL CENTER,12100 PLUM ORCHARD DRIVE,SILVER SPRING,MD,"AAA20904",MONTGOMERY,(301) 891-5651,Acute Care Hospitals,Voluntary non-profit - Private,true,true,3,NULL,0,NULL,-1,NULL,1,NULL,-1,NULL,0,NULL,-1,NULL,0,NULL,POINT (-76.958232 39.052263)
053309,MEMORIAL CARE MILLER CHILDREN'S &  WOMEN'S HOSP LB,2801 ATLANTIC AVENUE,LONG BEACH,CA,"AAA90806",LOS ANGELES,(562) 933-8001,Childrens,Voluntary non-profit - Other,false,NULL,NULL,5,NULL,5,NULL,5,NULL,5,NULL,5,NULL,5,NULL,5,NULL,5,POINT (-118.185098 33.807107)
1000NULL,ADVENTHEALTH LAKE WALES,410 S 11TH ST,LAKE WALES,FL,"AAA33853",POLK,(863) 676-1433,Acute Care Hospitals,Proprietary,true,true,1,NULL,0,NULL,0,NULL,-1,NULL,-1,NULL,0,NULL,0,NULL,NULL,5,POINT (-81.564666 27.896533)
010138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,AL,"AAA36925",SUMTER,(205) 392-5263,Acute Care Hospitals,Voluntary non-profit - Other,true,NULL,NULL,16,NULL,16,NULL,5,NULL,16,NULL,16,NULL,5,0,NULL,NULL,16,POINT (-88.296081 32.491825)
213300,MOUNT WASHINGTON PEDIATRIC HOSPITAL,1708 WEST ROGERS AVENUE,BALTIMORE,MD,"AAA21209",BALTIMORE CITY,(410) 578-5050,Childrens,Voluntary non-profit - Private,false,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,POINT (-76.653551 39.362029)
310002,NEWARK BETH ISRAEL MEDICAL CENTER,201 LYONS AVE,NEWARK,NJ,"AAA07112",ESSEX,(973) 926-7850,Acute Care Hospitals,Voluntary non-profit - Private,true,NULL,3,NULL,0,NULL,1,NULL,-1,NULL,-1,NULL,0,NULL,-1,NULL,0,NULL,POINT (-74.213787 40.710054)
140133,HOLY CROSS HOSPITAL,2701 W 68TH STREET,CHICAGO,IL,"AAA60629",COOK,(773) 884-9000,Acute Care Hospitals,Voluntary non-profit - Private,true,true,2,NULL,0,NULL,1,NULL,-1,NULL,-1,NULL,0,NULL,-1,NULL,0,NULL,POINT (-87.691909 41.770008)
161327,DAVIS COUNTY HOSPITAL,509 NORTH MADISON STREET,BLOOMFIELD,IA,"AAA52537",DAVIS,(641) 664-2145,Critical Access Hospitals,Government - Local,true,NULL,NULL,16,NULL,5,NULL,5,0,NULL,NULL,16,NULL,16,NULL,16,NULL,5,POINT (-92.414987 40.759223)
104072,CENTRAL FLORIDA BEHAVIORAL HOSPITAL,6601 CENTRAL FLORIDA PARKWAY,ORLANDO,FL,"AAA32821",ORANGE,(407) 370-0111,Psychiatric,Proprietary,false,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,POINT (-81.469845 28.408552)
271316,FRANCES MAHON DEACONESS HOSPITAL,621 3RD ST S,GLASGOW,MT,"AAA59230",VALLEY,(406) 228-3500,Critical Access Hospitals,Voluntary non-profit - Private,true,NULL,4,NULL,0,NULL,NULL,5,0,NULL,1,NULL,0,NULL,1,NULL,0,NULL,POINT (-106.636379 48.189571)
25039F,81st Medical Group (Keesler AFB),81 MDG 301 Fisher St. Suite 109,Biloxi,MS,"AAA39530",HARRISON,(228) 377-6393,Acute Care - Department of Defense,Department of Defense,true,NULL,NULL,22,NULL,22,NULL,22,NULL,22,NULL,22,NULL,22,NULL,22,NULL,22
381310,PIONEER MEMORIAL HOSPITAL,564 E PIONEER DRIVE,HEPPNER,OR,"AAA97836",MORROW,(541) 676-9133,Critical Access Hospitals,Government - Hospital District or Authority,true,true,NULL,16,NULL,16,NULL,16,NULL,5,NULL,16,NULL,16,NULL,5,NULL,5,POINT (-119.54763 45.356268)
420082,AIKEN REGIONAL MEDICAL CENTER,302 UNIVERSITY PARKWAY,AIKEN,SC,"AAA29801",AIKEN,(803) 641-5900,Acute Care Hospitals,Proprietary,true,true,2,NULL,-1,NULL,0,NULL,1,NULL,-1,NULL,0,NULL,0,NULL,0,NULL,POINT (-81.765071 33.56989)
154035,FOUR COUNTY COUNSELING CENTER,1015 MICHIGAN AVE,LOGANSPORT,IN,"AAA46947",CASS,(574) 722-5151,Psychiatric,Voluntary non-profit - Private,false,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,POINT (-86.361581 40.761945)
150086,HIGHPOINT HEALTH,600 WILSON CREEK RD,LAWRENCEBURG,IN,"AAA47025",DEARBORN,(812) 537-1010,Acute Care Hospitals,Government - Local,true,true,4,NULL,0,NULL,0,NULL,0,NULL,1,NULL,0,NULL,1,NULL,0,NULL,POINT (-84.883951 39.112922)
420106,PRISMA HEALTH BAPTIST PARKRIDGE,400 PALMETTO HEALTH PARKWAY,COLUMBIA,SC,"AAA29212",LEXINGTON,(803) 907-7011,Acute Care Hospitals,Voluntary non-profit - Private,true,true,5,NULL,0,NULL,1,NULL,1,NULL,1,NULL,0,NULL,-1,NULL,0,NULL
240063,ST JOSEPH'S HOSPITAL,45 WEST 10TH STREET,SAINT PAUL,MN,"AAA55102",RAMSEY,(651) 232-3000,Acute Care Hospitals,Voluntary non-profit - Private,false,NULL,2,NULL,0,NULL,-1,NULL,1,NULL,-1,NULL,0,NULL,0,NULL,0,NULL,POINT (-93.100127 44.949062)
074008,NATCHAUG HOSPITAL,189 STORRS RD,MANSFIELD CENTER,CT,"AAA06250",TOLLAND,(860) 456-1311,Psychiatric,Voluntary non-profit - Private,false,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,POINT (-72.197319 41.740743)
450684,MEMORIAL HERMANN NORTHEAST HOSPITAL,18951 MEMORIAL NORTH,HUMBLE,TX,"AAA77338",HARRIS,(281) 540-7700,Acute Care Hospitals,Voluntary non-profit - Private,true,true,2,NULL,0,NULL,1,NULL,-1,NULL,0,NULL,0,NULL,0,NULL,-1,NULL,POINT (-95.275482 29.NULL4565)
450144,PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO,720 HOSPITAL DRIVE,ANDREWS,TX,"AAA79714",ANDREWS,(432) 523-2200,Acute Care Hospitals,Government - Hospital District or Authority,true,true,3,NULL,0,NULL,NULL,5,0,NULL,NULL,16,0,NULL,1,NULL,NULL,5,POINT (-102.546866 32.337424)
390127,PHOENIXVILLE HOSPITAL,140 NUTT ROAD,PHOENIXVILLE,PA,"AAA19460",CHESTER,(610) 983-1000,Acute Care Hospitals,Proprietary,true,true,2,NULL,0,NULL,0,NULL,-1,NULL,0,NULL,0,NULL,-1,NULL,0,NULL,POINT (-75.538053 40.133387)
180029,HAZARD ARH REGIONAL MEDICAL CENTER,100 MEDICAL CENTER DRIVE,HAZARD,KY,"AAA41701",PERRY,(606) 439-6600,Acute Care Hospitals,Voluntary non-profit - Private,true,NULL,1,NULL,0,NULL,1,NULL,-1,NULL,-1,NULL,0,NULL,-1,NULL,0,NULL,POINT (-83.227413 37.279027)
140167,IROQUOIS MEMORIAL HOSPITAL,200 FAIRMAN STREET,WATSEKA,IL,"AAA60970",IROQUOIS,(815) 432-5201,Acute Care Hospitals,Voluntary non-profit - Private,true,true,2,NULL,0,NULL,NULL,5,-1,NULL,NULL,16,0,NULL,0,NULL,NULL,5,POINT (-87.732666 40.765541)
161380,HANSEN FAMILY HOSPITAL,920 SOUTH OAK STREET,IOWA FALLS,IA,"AAA50126",HARDIN,(641) 648-4631,Critical Access Hospitals,Government - Local,true,true,NULL,16,NULL,5,NULL,16,1,NULL,NULL,16,NULL,16,NULL,16,0,NULL,POINT (-93.262394 42.500939)
194085,COMPASS BEHAVIORAL CENTER OF LAFAYETTE,312 YOUNGSVILLE HIGHWAY,LAFAYETTE,LA,"AAA70508",LAFAYETTE,(337) 534-4655,Psychiatric,Proprietary,false,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,POINT (-91.NULL1048 30.155424)
390096,ST JOSEPH MEDICAL CENTER,2500 BERNVILLE ROAD,READING,PA,"AAA19605",BERKS,(610) 378-2000,Acute Care Hospitals,Voluntary non-profit - Church,true,true,3,NULL,0,NULL,-1,NULL,1,NULL,-1,NULL,0,NULL,-1,NULL,-1,NULL,POINT (-75.977661 40.376717)
141324,FERRELL HOSPITAL COMMUNITY FOUNDATIONS,1201 PINE STREET,ELDORADO,IL,"AAA62930",SALINE,(618) 273-3361,Critical Access Hospitals,Voluntary non-profit - Private,true,true,3,NULL,0,NULL,NULL,5,-1,NULL,1,NULL,NULL,16,NULL,16,NULL,5,POINT (-88.441451 37.815332)
051328,TAHOE FOREST HOSPITAL,10121 PINE AVE,TRUCKEE,CA,"AAA96161",NEVADA,(530) 587-6011,Critical Access Hospitals,Government - Hospital District or Authority,true,true,4,NULL,0,NULL,NULL,5,0,NULL,1,NULL,0,NULL,0,NULL,0,NULL,POINT (-120.201344 39.325163)
381320,COLUMBIA MEMORIAL HOSPITAL,2111 EXCHANGE STREET,ASTORIA,OR,"AAA97103",CLATSOP,(503) 325-4321,Critical Access Hospitals,Proprietary,true,true,3,NULL,0,NULL,0,NULL,-1,NULL,1,NULL,NULL,5,1,NULL,-1,NULL,POINT (-123.818502 46.188503)
520027,ASCENSION COLUMBIA ST MARY'S HOSPITAL OZAUKEE,13111 N PORT WASHINGTON RD,MEQUON,WI,"AAA53097",OZAUKEE,(414) 585-1374,Acute Care Hospitals,Voluntary non-profit - Church,true,true,4,NULL,0,NULL,0,NULL,1,NULL,0,NULL,0,NULL,1,NULL,0,NULL,POINT (-87.92415 43.25618)
250102,MISSISSIPPI BAPTIST MEDICAL CENTER,1225 N STATE ST,JACKSON,MS,"AAA39202",HINDS,(601) 968-1000,Acute Care Hospitals,Voluntary non-profit - Private,true,true,4,NULL,1,NULL,1,NULL,-1,NULL,0,NULL,-1,NULL,0,NULL,0,NULL,POINT (-90.178228 32.314278)
400016,AUXILIO MUTUO HOSPITAL,PONCE DE LEON AVENUE STOP 37 1/2,HATO REY,PR,"AAA00918",SAN JUAN,(787) 758-2000,Acute Care Hospitals,Voluntary non-profit - Private,true,true,1,17,0,NULL,0,NULL,-1,NULL,NULL,16,-1,NULL,NULL,5,NULL,16
104024,"CIRCLES OF CARE, INC",400 E SHERIDAN RD,MELBOURNE,FL,"AAA32901",BREVARD,(321) 984-4900,Psychiatric,Voluntary non-profit - Private,false,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,POINT (-80.616201 28.088846)
150017,LUTHERAN HOSPITAL OF INDIANA,7950 W JEFFERSON BLVD,FORT WAYNE,IN,"AAA46804",ALLEN,(260) 435-7001,Acute Care Hospitals,Proprietary,true,true,2,NULL,-1,NULL,-1,NULL,1,NULL,-1,NULL,0,NULL,-1,NULL,0,NULL,POINT (-85.245885 41.037374)
050124,USC VERDUGO HILLS HOSPITAL,1812 VERDUGO BLVD,GLENDALE,CA,"AAA91209",LOS ANGELES,(818) 790-7100,Acute Care Hospitals,Voluntary non-profit - Private,true,true,1,NULL,0,NULL,-1,NULL,-1,NULL,-1,NULL,0,NULL,0,NULL,0,NULL,POINT (-118.216048 34.205614)
511308,BRAXTON COUNTY MEMORIAL HOSPITAL,100 HOYLMAN DRIVE,GASSAWAY,WV,"AAA26624",BRAXTON,(304) 364-5156,Critical Access Hospitals,Voluntary non-profit - Private,true,NULL,NULL,16,NULL,5,NULL,16,0,NULL,NULL,16,NULL,5,0,NULL,NULL,5,POINT (-80.748334 38.660126)
261306,SULLIVAN COUNTY MEMORIAL HOSPITAL,630 WEST THIRD STREET,MILAN,MO,"AAA63556",SULLIVAN,(660) 265-4212,Critical Access Hospitals,Government - Local,true,NULL,NULL,16,NULL,5,NULL,16,NULL,5,NULL,16,NULL,5,1,NULL,NULL,5,POINT (-93.131136 40.202174)
140242,CENTRAL DUPAGE HOSPITAL,25 NORTH WINFIELD ROAD,WINFIELD,IL,"AAA60190",DU PAGE,(630) 682-1600,Acute Care Hospitals,Voluntary non-profit - Private,true,true,4,NULL,0,NULL,-1,NULL,1,NULL,1,NULL,0,NULL,0,NULL,1,NULL,POINT (-88.158095 41.873765)
464001,UTAH STATE HOSPITAL,1300 EAST CENTER STREET,PROVO,UT,"AAA84605",UTAH,(801) 344-4400,Psychiatric,Government - State,true,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,POINT (-111.635831 40.233569)
030038,SCOTTSDALE OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,SCOTTSDALE,AZ,"AAA85251",MARICOPA,(480) 882-4004,Acute Care Hospitals,Proprietary,true,true,3,NULL,0,NULL,1,NULL,-1,NULL,-1,NULL,0,NULL,1,NULL,1,NULL,POINT (-111.922725 33.487639)
281310,REGIONAL WEST GARDEN COUNTY HOSPITAL,1100 WEST 2ND ST,OSHKOSH,NE,"AAA69154",GARDEN,(308) 772-3283,Critical Access Hospitals,Voluntary non-profit - Private,true,NULL,NULL,16,NULL,16,NULL,16,NULL,5,NULL,16,NULL,16,0,NULL,NULL,5,POINT (-102.347573 41.412485)
171352,DECATUR COUNTY HOSPITAL,810 W  COLUMBIA STREET,OBERLIN,KS,"AAA67749",DECATUR,(785) 475-2208,Critical Access Hospitals,Voluntary non-profit - Private,true,true,NULL,16,NULL,5,NULL,16,NULL,5,NULL,16,NULL,5,1,NULL,NULL,16,POINT (-100.53925 39.816212)
114035,RIVERWOODS BEHAVIORAL HEALTH SYSTEM,223 MEDICAL CENTER DRIVE,RIVERDALE,GA,"AAA30274",CLAYTON,(770) NULL1-8500,Psychiatric,Proprietary,false,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,POINT (-84.39032 33.581378)
111327,BACON COUNTY HOSPITAL,302 SOUTH WAYNE STREET,ALMA,GA,"AAA31510",BACON,(912) 632-8961,Critical Access Hospitals,Voluntary non-profit - Other,true,NULL,3,NULL,0,NULL,NULL,16,-1,NULL,1,NULL,NULL,5,0,NULL,NULL,5,POINT (-82.459687 31.53911)
230024,SINAI-GRACE HOSPITAL,6071 W OUTER DRIVE,DETROIT,MI,"AAA48235",WAYNE,(313) 966-3300,Acute Care Hospitals,Proprietary,true,true,1,NULL,1,NULL,-1,NULL,-1,NULL,-1,NULL,0,NULL,-1,NULL,-1,NULL,POINT (-83.181471 42.420102)
230053,HENRY FORD HOSPITAL,27NULL W GRAND BLVD,DETROIT,MI,"AAA48202",WAYNE,(313) 916-2600,Acute Care Hospitals,Voluntary non-profit - Private,true,true,2,NULL,1,NULL,-1,NULL,-1,NULL,0,NULL,-1,NULL,-1,NULL,-1,NULL,POINT (-83.084592 42.366114)
45070F,Darnall AMC (FT Hood),36000 Darnall Loop,Fort Hood,TX,"AAA76544",BELL,(254) 288-8000,Acute Care - Department of Defense,Department of Defense,true,NULL,NULL,22,NULL,22,NULL,22,NULL,22,NULL,22,NULL,22,NULL,22,NULL,22,POINT (-97.775132 31.130337)
310050,SAINT CLARE'S HOSPITAL/ DENVILLE CAMPUS,25 POCONO ROAD,DENVILLE,NJ,"AAA07834",MORRIS,(973) 983-5569,Acute Care Hospitals,Proprietary,true,true,5,NULL,1,NULL,1,NULL,-1,NULL,-1,NULL,0,NULL,0,NULL,0,NULL,POINT (-74.464479 40.894376)
400048,HOSPITAL MENONITA GUAYAMA,AVE. PEDRO ALBIZU CAMPOS URB. LA HACIENDA,GUAYAMA,PR,"AAA00785",GUAYANILLA,(787) 864-4300,Acute Care Hospitals,Voluntary non-profit - Church,true,true,NULL,16,NULL,16,NULL,16,NULL,5,NULL,16,-1,NULL,-1,NULL,NULL,5
450152,ADVENTHEALTH CENTRAL TEXAS,2201 S CLEAR CREEK ROAD,KILLEEN,TX,"AAA76542",BELL,(254) 526-7523,Acute Care Hospitals,Voluntary non-profit - Church,true,true,4,NULL,0,NULL,1,NULL,1,NULL,-1,NULL,0,NULL,-1,NULL,-1,NULL,POINT (-97.7NULL519 31.11335)
340010,WAYNE MEMORIAL HOSPITAL,2700 WAYNE MEMORIAL DR,GOLDSBORO,NC,"AAA27534",WAYNE,(919) 736-1110,Acute Care Hospitals,Voluntary non-profit - Private,true,true,2,NULL,-1,NULL,0,NULL,-1,NULL,-1,NULL,0,NULL,-1,NULL,0,NULL,POINT (-77.953342 35.400831)
061325,PIONEERS MEDICAL CENTER,100 PIONEERS MEDICAL CENTER DR,MEEKER,CO,"AAA81641",RIO BLANCO,(970) 878-5047,Critical Access Hospitals,Government - Hospital District or Authority,true,NULL,NULL,16,NULL,5,NULL,5,NULL,5,NULL,16,NULL,16,NULL,16,NULL,5
390225,WELLSPAN EPHRATA COMMUNITY HOSPITAL,169 MARTIN AVENUE,EPHRATA,PA,"AAA17522",LANCASTER,(717) 733-0311,Acute Care Hospitals,Voluntary non-profit - Other,true,true,4,NULL,0,NULL,-1,NULL,1,NULL,0,NULL,0,NULL,-1,NULL,-1,NULL,POINT (-76.184268 40.186866)
450203,MEDICAL CITY WEATHERFORD,713 E ANDERSON ST,WEATHERFORD,TX,"AAA76086",PARKER,(817) 5NULL-1190,Acute Care Hospitals,Proprietary,true,true,3,NULL,-1,NULL,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,POINT (-97.785369 32.747472)
230142,BEAUMONT HOSPITAL - WAYNE,33155 ANNAPOLIS AVE,WAYNE,MI,"AAA48184",WAYNE,(734) 467-4175,Acute Care Hospitals,Voluntary non-profit - Private,true,true,3,NULL,0,NULL,1,NULL,-1,NULL,-1,NULL,0,NULL,-1,NULL,0,NULL,POINT (-83.365625 42.274275)
020017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,NULL508,ANCHORAGE,(907) 276-1131,Acute Care Hospitals,Proprietary,true,true,4,NULL,0,NULL,0,NULL,1,NULL,0,NULL,0,NULL,1,NULL,0,NULL,POINT (-149.827379 61.20979)
230121,MEMORIAL HEALTHCARE,826 WEST KING STREET,OWOSSO,MI,"AAA48867",SHIAWASSEE,(989) 723-5211,Acute Care Hospitals,Voluntary non-profit - Other,false,true,4,NULL,0,NULL,-1,NULL,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,POINT (-84.182076 43.005075)
301303,WEEKS MEDICAL CENTER,173 MIDDLE STREET,LANCASTER,NH,"AAA03584",COOS,(603) 788-4911,Critical Access Hospitals,Voluntary non-profit - Private,true,true,4,NULL,0,NULL,NULL,5,0,NULL,1,NULL,NULL,5,0,NULL,0,NULL,POINT (-71.554156 44.486NULL)
194106,"COMPASS BEHAVIORAL CENTER OF ALEXANDRIA, INC",6410 MASONIC DRIVE,ALEXANDRIA,LA,"AAA71301",RAPIDES,(318) 442-3163,Psychiatric,Proprietary,false,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,POINT (-92.481496 31.251902)
461304,CENTRAL VALLEY MEDICAL CENTER - CAH,48 WEST 1500 NORTH,NEPHI,UT,"AAA84648",JUAB,(435) 623-3000,Critical Access Hospitals,Voluntary non-profit - Private,true,true,4,NULL,NULL,5,NULL,5,-1,NULL,1,NULL,NULL,5,1,NULL,NULL,5,POINT (-111.837215 39.730587)
200063,PENOBSCOT BAY MEDICAL CENTER,6 GLEN COVE DRIVE,ROCKPORT,ME,"AAA04856",KNOX,(207) 921-8000,Acute Care Hospitals,Voluntary non-profit - Private,true,true,4,NULL,0,NULL,-1,NULL,1,NULL,0,NULL,0,NULL,-1,NULL,0,NULL,POINT (-69.086537 44.144434)
