Table 21: Annual Average Price Adjusted for Service-Mix Intensity by State by Service Category ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Inpatient,,,,,Outpatient,,,,,Professional Services,,,,,Prescription Drugs,,,,
IA,"13,147.20","14,269.59","14,868.34","14,652.16","15,474.71",381.37,396.26,413.28,441.99,468.76,106.89,109.71,111.75,115.16,118.76,73.09,75.84,81.47,88,88.46
ID,"16,953.81","18,940.86","19,351.15","19,398.39","20,708.13",463.17,502.29,516.51,516.45,545.37,125.1,125.87,125.94,127.14,129.26,85.27,88.4,95.7,107.04,104.5
IL,"16,240.67","16,852.81","17,080.52","17,136.97","17,668.79",447.33,474.54,480.63,484.16,514.89,103.25,105.19,106.41,107.93,110.39,87.42,93.68,103.11,109.32,111.5
IN,"19,339.21","20,158.98","20,803.47","20,930.93","22,138.56",555.21,580.34,596.79,617.1,649.14,99.22,102.16,104.47,106.87,111.51,78.52,84.15,88.61,95.52,96.69
KS,"15,237.92","15,572.33","15,858.39","15,920.25","16,392.51",466.98,495.51,501.97,499.5,516.28,95.95,96.45,97.89,96.89,100.31,81.45,85.2,91.62,96.59,98.9
KY,"14,646.74","15,790.98","15,372.86","16,034.45","16,078.98",500.06,529.19,507.45,509.93,541.24,79.24,81.88,85.99,87.68,91.85,74.8,80.3,85.78,90.62,93.7
LA,"14,025.16","14,258.17","14,212.88","14,585.30","15,139.89",361.34,368.77,373.5,377.3,402.34,96.6,98.36,101.72,103.54,105.19,82.34,87.32,96.16,97,97.1
MA,"14,643.16","15,753.08","15,754.60","16,068.68","16,603.02",255.68,264.14,265.31,266.84,279.83,113.94,118.38,121.28,125.16,131.31,83.71,95.02,101.72,111.57,116.24
MD,"13,402.95","13,574.77","14,194.93","14,376.89","14,927.46",505.46,532.33,534.53,543.25,567.58,85.74,88.73,90.63,93.77,98.77,92.05,99.39,108.68,113.08,116.54
ME,"19,690.95","20,524.02","22,281.06","23,559.62","23,876.23",362.27,372.58,392,404.13,422.31,106.55,110.3,112.59,113.97,119.25,77.86,85.2,92.23,100.31,100.95
MI,"15,537.36","15,801.01","16,336.13","16,165.90","16,516.25",378.91,398.62,408.93,420.66,443.47,91.94,93.44,97.08,98.21,101.5,79.8,85.18,92.21,98.34,100.34
MN,"16,206.54","17,253.11","17,924.79","18,985.62","19,536.07",459.38,475.78,498.31,506.11,522.15,128.97,132.05,135.05,139.58,144.51,80.81,85.64,88.88,96.37,103.67
MO,"13,296.87","14,610.39","15,101.72","15,914.89","15,960.78",357.98,376.34,396.75,416.63,450.34,93.32,95.91,99,100.53,103.68,81.4,86.25,92.73,99.13,104.08
MS,"13,555.23","14,408.96","13,929.58","14,724.04","15,306.85",441.99,461.3,475.34,488.54,541.55,93.86,94.55,94.94,97.12,98.88,81.22,88.08,89.56,96.16,95.14
MT,"19,196.40","18,139.63","22,604.40","21,404.11","21,006.12",456.71,487.96,507.21,516.25,527.47,134.46,139.83,143.97,143.4,146.73,78.56,85.79,85.25,96.09,93.73
NC,"16,624.83","17,023.45","17,347.93","17,460.97","17,344.92",617.26,649.61,670.62,698.03,716.86,97.03,100.83,102.91,105.43,107.83,86.89,90.28,99.53,105.39,107.83
ND,"16,217.38","16,471.75","16,735.30","19,145.89","17,256.93",498.05,502.83,551.89,558.19,589.25,125.29,126.58,129.97,137.54,148.58,66.41,69.44,82.97,94.93,97.99
NE,"16,063.98","16,513.72","16,962.97","17,528.74","18,882.86",481.54,503.87,516.2,532.2,566.17,106.57,109.1,108.89,108.82,114.26,82.5,87.58,95.57,102.06,100.24
NH,"18,493.43","19,580.87","19,820.47","21,264.49","21,918.74",374.19,392.61,388.16,394.85,413,132.27,137.5,140.34,146.47,150.81,88.99,94.47,100.38,110.8,113.71
NJ,"16,581.95","17,542.00","18,195.41","19,301.06","19,966.43",528.28,550.86,561.22,579.44,604.1,99.57,103.09,106.01,108.14,111.7,113.16,123.58,135.73,140.14,142.58
NM,"16,464.69","16,509.55","16,845.95","19,933.27","18,000.87",457.99,497.49,513.87,531.75,550.99,107.85,110.77,112.49,116.98,120.76,77.58,81.91,94.24,102.28,100.97
NV,"15,851.71","17,489.48","18,337.85","18,472.85","18,599.52",667.84,741.4,781.82,809.79,872.95,94.38,96.56,99.98,103.38,107.13,88.26,95.15,106.98,112.62,114.76
NY,"16,816.23","18,216.33","19,526.95","20,801.79","22,254.03",327.32,344.82,362.96,380.46,408.86,100.33,101.99,105.14,108.11,111.08,109.92,121.39,134.25,139.92,146.17
OH,"16,254.70","17,120.71","18,624.03","19,065.38","19,490.47",374.61,396.04,407.63,423.09,451.09,94.93,97.2,100.1,104.52,109,82.61,87,93.91,99.99,102.98
OK,"14,918.45","15,202.86","15,487.81","16,880.58","17,126.14",515.93,530.88,549.47,582.2,625.65,87.96,87.99,89.59,92.57,93.82,83.77,87.69,94.27,101.1,100.07
OR,"19,290.51","20,347.16","20,656.63","21,586.57","22,225.61",403.95,427.74,438.84,439.08,473.49,124.92,127.96,130.43,133.84,135.84,78.67,84.48,94.77,101.88,105.21
PA,"16,391.48","17,691.83","17,476.33","17,897.47","18,488.02",364.71,385.15,389.39,399.08,429.29,96.86,100.66,101.94,106.75,109.75,88.35,96.69,107.29,112.89,115.36
RI,"16,437.85","16,206.24","16,278.67","17,310.08","17,161.33",225.91,236.37,238.42,236.07,245.69,90.79,95.18,96.72,99,104.13,81.23,86.2,92.29,99.18,101.14
SC,"20,960.00","22,050.64","22,217.18","22,546.07","23,480.49",633.18,684.89,722.2,752.95,784.69,97.39,99.19,101.3,104.17,105.57,82.59,87.2,94.39,99.42,103.21
SD,"19,169.67","18,056.11","21,309.72","23,006.96","23,520.44",759.02,833.74,885.41,926.42,"1,010.29",128.65,132.49,133.53,132.2,142.77,76.92,74.69,79.91,88.12,100.38
TN,"14,424.44","15,123.60","15,801.27","16,084.52","16,353.02",479.07,509.68,524.13,534.24,560.11,84.59,88.21,91.01,93.02,95.11,79.25,84.58,90.03,95.55,97.94
TX,"17,728.30","18,006.82","18,805.72","19,474.36","19,815.55",621.79,653.54,682.87,723.42,763.43,97.21,100.66,103.61,106.53,107.66,95.48,106.56,114.83,118.24,114.14
US,"17,272.41","18,061.69","18,745.81","19,383.62","19,959.32",472.51,497.75,513.61,531.46,561.64,99.45,102.5,104.95,107.94,111.75,86.94,93.38,101.73,107.23,108.68
UT,"12,606.55","14,124.50","14,522.67","15,096.06","14,851.90",494.65,536.81,551.54,547.03,563.87,92.8,94.84,96.87,100.52,103.71,84.11,87.29,91.96,98.79,100.43
VA,"16,712.10","17,196.77","18,055.57","18,219.06","19,326.82",554.56,576.34,590.17,599.73,638.04,92.64,96.45,99.05,100.87,103.51,89.05,94.29,101.39,106.49,108.98
VT,"19,759.22","19,766.13","19,006.54","20,741.89","22,726.54",392.07,421.8,430.78,446.72,469.3,156.62,149.13,149.33,159.86,171.77,83.06,89.56,96.09,108.35,99.33
WA,"19,498.36","21,160.24","21,711.58","21,628.90","23,230.94",501.64,534.04,548.72,558.9,594.8,104.17,107.8,109.98,112.11,114.37,87.8,94.76,104.45,111.57,118.44
WI,"17,262.43","18,594.65","18,709.33","19,642.46","19,944.25",472.6,498.28,517.61,533.65,565.11,155.63,160.19,164.45,168.48,174.54,73.38,77.27,86.23,94.76,99.44
WV,"18,513.20","20,153.83","21,208.59","21,236.97","23,497.98",458.83,485.86,496.97,517.76,558.38,98.66,99.7,100.8,104.57,111.04,74.57,76.84,83.92,90.86,90.83
WY,"20,792.48","20,328.75","22,533.30","22,654.46","21,814.94",537.22,565.73,587.23,622.56,628.56,176.64,188.04,196.59,188.33,193.1,79.55,86.81,91.27,103.91,108.29
Source: HCCI 2019. ,,,,,,,,,,,,,,,,,,,,
"Notes: All data weighted to reflect the national population ages 0-64 and covered by ESI. Data for 2016 and 2017 adjusted using actuarial completion. All per person dollars from allowed amounts. Prescription drug spending is the amount paid on the pharmacy claim, which reflects discounts from the wholesale price, but not manufacturer rebates paid in separate transactions. Prescriptions not categorizable as brand or generic are not included in the table due to low dollar amounts.",,,,,,,,,,,,,,,,,,,,
