Table 23: Annual Average Price by State by Service Category ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Inpatient,,,,,Outpatient,,,,,Professional Services,,,,,Prescription Drugs,,,,
OK,"14,918.45","15,235.60","15,464.19","17,692.77","18,484.44",515.93,535.93,541.55,547.68,569.91,87.96,87.48,90.88,97.72,98.52,83.77,87.69,94.27,101.1,100.07
OR,"19,290.51","20,985.82","20,780.72","21,711.66","23,143.93",403.95,414.44,422.01,429.83,476.62,124.92,127.01,130.28,134.83,137.17,78.67,84.48,94.77,101.88,105.21
PA,"16,391.48","17,685.91","17,617.06","18,358.58","19,209.29",364.71,384.3,392.4,405.3,442.42,96.86,100.9,102,108.64,111.16,88.35,96.69,107.29,112.89,115.36
RI,"16,437.85","16,637.23","16,642.52","18,194.35","18,321.84",225.91,236.37,242.79,241.94,245.46,90.79,94.5,97.83,106.17,111.38,81.23,86.2,92.29,99.18,101.14
SC,"20,960.00","21,927.58","21,958.32","22,639.70","24,511.86",633.18,682.97,712.9,726.3,755.82,97.39,100.19,104.7,110.42,111.94,82.59,87.2,94.39,99.42,103.21
SD,"19,169.67","19,033.45","22,857.72","24,504.71","26,427.02",759.02,811.61,848.91,892.4,901.72,128.65,130.28,133.26,134.02,142.48,76.92,74.69,79.91,88.12,100.38
TN,"14,424.44","15,327.48","16,303.30","16,571.26","16,989.40",479.07,496.14,512.41,526.83,560.22,84.59,88,92.27,96.88,99.32,79.25,84.58,90.03,95.55,97.94
TX,"17,728.30","18,227.91","19,122.97","20,158.58","20,739.80",621.79,636.43,650.24,654.37,686.9,97.21,99.81,104.26,109.88,111.1,95.48,106.56,114.83,118.24,114.14
US,"17,272.41","18,257.71","19,092.44","20,067.02","20,942.52",472.51,497.09,510.86,522.4,548.52,99.45,102.45,106.09,111.41,115.42,86.94,93.38,101.73,107.23,108.68
UT,"12,606.55","14,511.45","15,037.71","16,025.00","16,027.28",494.65,543.45,568.84,562.68,575.38,92.8,95.1,97.56,104.92,110.07,84.11,87.29,91.96,98.79,100.43
VA,"16,712.10","17,285.57","18,649.21","18,886.24","20,208.52",554.56,574.03,585.86,588.75,618.86,92.64,96.36,99.47,103.32,106.2,89.05,94.29,101.39,106.49,108.98
VT,"19,759.22","18,940.26","16,812.99","20,703.73","22,420.89",392.07,382.48,411.52,421.73,457.28,156.62,152.69,152.54,169.12,182.39,83.06,89.56,96.09,108.35,99.33
WA,"19,498.36","21,687.56","22,031.76","22,276.32","24,244.99",501.64,552.43,562.63,586.65,620.86,104.17,107.75,111.3,114.46,116.37,87.8,94.76,104.45,111.57,118.44
WI,"17,262.43","18,827.27","18,714.82","20,167.23","20,758.27",472.6,487.54,506.35,521.43,537.72,155.63,160.47,167.37,176.68,183.81,73.38,77.27,86.23,94.76,99.44
WV,"18,513.20","20,317.18","21,043.50","22,408.65","23,944.81",458.83,474.06,476.99,505.77,559.26,98.66,98.75,100.31,108.14,116,74.57,76.84,83.92,90.86,90.83
WY,"20,792.48","21,370.45","24,331.18","24,574.78","22,711.73",537.22,578.01,583.77,638.1,628.67,176.64,190.05,198.89,191.26,192.89,79.55,86.81,91.27,103.91,108.29
Source: HCCI 2019. ,,,,,,,,,,,,,,,,,,,,
"Notes: All data weighted to reflect the national population ages 0-64 and covered by ESI. Data for 2016 and 2017 adjusted using actuarial completion. All per person dollars from allowed amounts. Prescription drug spending is the amount paid on the pharmacy claim, which reflects discounts from the wholesale price, but not manufacturer rebates paid in separate transactions. Prescriptions not categorizable as brand or generic are not included in the table due to low dollar amounts.",,,,,,,,,,,,,,,,,,,,
