Table 13: Annual Average Price by Service Subcategory ,,,,,,,,,,,
,,,,,,,,,,,
,,,Average Price,,,,,Annual % Change in Average Price,,,
,,Autonomic Drugs,$74.34 ,$81.00 ,$90.15 ,$97.79 ,$92.68 ,9.00%,11.30%,8.50%,-5.20%
,,Bio Response Modifiers,"$4,683.96 ","$5,209.27 ","$5,733.22 ","$6,332.00 ","$6,849.04 ",11.20%,10.10%,10.40%,8.20%
,,Blood Formation/Coagulation/Thrombosis Agents,$188.24 ,$214.53 ,$250.21 ,$286.04 ,$300.20 ,14.00%,16.60%,14.30%,5.00%
,,Cardiovascular Drugs,$38.81 ,$35.12 ,$32.54 ,$30.82 ,$24.83 ,-9.50%,-7.30%,-5.30%,-19.40%
,,Central Nervous System (CNS) Agents,$72.91 ,$71.46 ,$67.24 ,$66.78 ,$61.86 ,-2.00%,-5.90%,-0.70%,-7.40%
,,Chemotherapy/Antineoplastic Agents,$551.68 ,$627.50 ,$730.67 ,$848.25 ,"$1,084.42 ",13.70%,16.40%,16.10%,27.80%
,,Eye/Ear/Nose/Throat (EENT) Preparations,$71.08 ,$69.33 ,$80.87 ,$87.06 ,$87.01 ,-2.50%,16.70%,7.70%,-0.10%
,,Gastrointestinal (GI) Drugs,$98.17 ,$87.53 ,$84.10 ,$87.65 ,$88.10 ,-10.80%,-3.90%,4.20%,0.50%
,,Hormones,$75.20 ,$83.15 ,$93.18 ,$100.54 ,$105.24 ,10.60%,12.10%,7.90%,4.70%
,,Respiratory Tract Agents,$130.70 ,$139.30 ,$154.88 ,$173.89 ,$185.01 ,6.60%,11.20%,12.30%,6.40%
,,Rheumatoid Arthritis Drugs,"$2,387.79 ","$2,761.59 ","$3,320.53 ","$3,995.45 ","$4,470.88 ",15.70%,20.20%,20.30%,11.90%
,,Skin/Mucous Membrane Agents,$183.57 ,$216.05 ,$262.01 ,$299.51 ,$334.12 ,17.70%,21.30%,14.30%,11.60%
,,Other Prescription Drugs,$58.44 ,$61.65 ,$65.58 ,$65.15 ,$64.21 ,5.50%,6.40%,-0.70%,-1.40%
,Brand,All Prescription Drugs,$312.21 ,$387.58 ,$476.18 ,$547.27 ,$647.80 ,24.10%,22.90%,14.90%,18.40%
,,Anti-Infective Agents,"$1,105.86 ","$1,741.53 ","$2,345.88 ","$2,269.04 ","$2,306.64 ",57.50%,34.70%,-3.30%,1.70%
,,Autonomic Drugs,$102.95 ,$109.46 ,$120.58 ,$124.58 ,$149.15 ,6.30%,10.20%,3.30%,19.70%
,,Bio Response Modifiers,"$4,683.96 ","$5,209.27 ","$5,749.03 ","$6,374.39 ","$6,900.38 ",11.20%,10.40%,10.90%,8.30%
,,Blood Formation/Coagulation/Thrombosis Agents,$718.64 ,$766.53 ,$804.40 ,$796.25 ,$750.39 ,6.70%,4.90%,-1.00%,-5.80%
,,Cardiovascular Drugs,$161.64 ,$178.20 ,$206.00 ,$241.03 ,$284.38 ,10.20%,15.60%,17.00%,18.00%
,,Central Nervous System (CNS) Agents,$315.58 ,$370.35 ,$406.59 ,$434.55 ,$461.89 ,17.40%,9.80%,6.90%,6.30%
,,Chemotherapy/Antineoplastic Agents,"$5,858.75 ","$7,120.13 ","$8,236.54 ","$8,620.21 ","$9,464.81 ",21.50%,15.70%,4.70%,9.80%
,,Eye/Ear/Nose/Throat (EENT) Preparations,$174.39 ,$203.05 ,$246.27 ,$282.52 ,$320.32 ,16.40%,21.30%,14.70%,13.40%
,,Gastrointestinal (GI) Drugs,$321.33 ,$337.41 ,$409.87 ,$482.68 ,$541.00 ,5.00%,21.50%,17.80%,12.10%
,,Hormones,$187.76 ,$224.88 ,$272.76 ,$304.20 ,$358.11 ,19.80%,21.30%,11.50%,17.70%
,,Respiratory Tract Agents,$244.37 ,$292.75 ,$349.24 ,$402.33 ,$437.87 ,19.80%,19.30%,15.20%,8.80%
,,Rheumatoid Arthritis Drugs,"$2,708.96 ","$3,128.30 ","$3,711.94 ","$4,470.44 ","$4,992.18 ",15.50%,18.70%,20.40%,11.70%
,,Skin/Mucous Membrane Agents,$471.80 ,$594.31 ,$742.64 ,$993.23 ,"$1,445.60 ",26.00%,25.00%,33.70%,45.50%
,,Other Prescription Drugs,$369.67 ,$440.46 ,$551.07 ,$747.38 ,$813.65 ,19.10%,25.10%,35.60%,8.90%
,Generic,All Prescription Drugs,$29.74 ,$29.79 ,$30.07 ,$31.10 ,$29.34 ,0.20%,1.00%,3.40%,-5.70%
,,Anti-Infective Agents,$66.84 ,$62.81 ,$66.43 ,$68.14 ,$71.24 ,-6.00%,5.80%,2.60%,4.50%
,,Autonomic Drugs,$53.09 ,$59.26 ,$69.08 ,$80.92 ,$57.63 ,11.60%,16.60%,17.10%,-28.80%
,,Bio Response Modifiers,,,"$4,456.05 ","$4,358.10 ","$4,478.40 ",,,-2.20%,2.80%
,,Blood Formation/Coagulation/Thrombosis Agents,$67.13 ,$49.53 ,$42.15 ,$46.72 ,$48.90 ,-26.20%,-14.90%,10.80%,4.70%
,,Cardiovascular Drugs,$16.94 ,$16.24 ,$14.20 ,$14.58 ,$15.21 ,-4.10%,-12.50%,2.70%,4.30%
,,Central Nervous System (CNS) Agents,$32.38 ,$33.14 ,$32.27 ,$32.31 ,$29.25 ,2.40%,-2.60%,0.10%,-9.50%
,,Chemotherapy/Antineoplastic Agents,$54.42 ,$97.37 ,$103.55 ,$103.21 ,$157.30 ,78.90%,6.40%,-0.30%,52.40%
,,Eye/Ear/Nose/Throat (EENT) Preparations,$31.99 ,$30.11 ,$33.87 ,$40.59 ,$41.19 ,-5.90%,12.50%,19.80%,1.50%
,,Gastrointestinal (GI) Drugs,$27.70 ,$25.45 ,$30.56 ,$31.29 ,$31.11 ,-8.10%,20.10%,2.40%,-0.60%
,,Hormones,$22.16 ,$21.24 ,$20.56 ,$21.92 ,$21.60 ,-4.20%,-3.20%,6.60%,-1.50%
,,Respiratory Tract Agents,$50.58 ,$41.91 ,$35.71 ,$34.79 ,$32.28 ,-17.10%,-14.80%,-2.60%,-7.20%
,,Rheumatoid Arthritis Drugs,$64.29 ,$46.90 ,$78.38 ,$130.27 ,$129.24 ,-27.00%,67.10%,66.20%,-0.80%
,,Skin/Mucous Membrane Agents,$104.31 ,$129.55 ,$156.69 ,$171.91 ,$149.27 ,24.20%,20.90%,9.70%,-13.20%
,,Other Prescription Drugs,$16.80 ,$17.98 ,$19.27 ,$19.09 ,$18.48 ,7.00%,7.20%,-1.00%,-3.20%
Source: HCCI 2019. ,,,,,,,,,,,
"Notes: All data weighted to reflect the national population ages 0-64 and covered by ESI. Data for 2016 and 2017 adjusted using actuarial completion. All per person dollars from allowed amounts. Prescription drug spending is the amount paid on the pharmacy claim, which reflects discounts from the wholesale price, but not manufacturer rebates paid in separate transactions. Prescriptions not categorizable as brand or generic are not included in the table due to low dollar amounts.",,,,,,,,,,,
