Utilization Type,State,Labeler Code,Product Code,Package Size,Year,Quarter,Product Name,Suppression Used,Units Reimbursed,Number of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non Medicaid Amount Reimbursed,Quarter Begin,Quarter Begin Date,Latitude,Longitude,Location,NDC
FFSU,MA,64980,0443,01,2019,3,ALBUTEROL,true,,,,,,7/1,07/01/2019,31.1801,-91.8749,POINT (-91.8749 31.1801),64980044301
FFSU,XX,00173,0600,02,2019,2,FLOVENT 50,false,"43,878",710,"129,441.43","123,722.7","5,718.73",4/1,04/01/2019,,,,00173060002
FFSU,XX,60687,0395,83,2019,1,ALBUTEROL,false,"1,983.6",12,164.92,164.92,0,1/1,01/01/2019,,,,60687039583
MCOU,MN,17478,0171,01,2019,1,XOPENEX CO,true,,,,,,1/1,01/01/2019,43.3504,-84.5603,POINT (-84.5603 43.3504),17478017101
MCOU,UT,68462,0225,17,2019,3,Mometasone,false,735,18,276.63,276.63,0,7/1,07/01/2019,44.2853,-99.4632,POINT (-99.4632 44.2853),68462022517
FFSU,XX,69097,0319,86,2019,1,BUDESONIDE,false,220,14,267.02,267.02,0,1/1,01/01/2019,,,,69097031986
MCOU,XX,00378,6990,58,2019,3,ALBUTEROL,false,18,15,0.65,0.65,0,7/1,07/01/2019,,,,00378699058
FFSU,NE,00173,0696,00,2019,1,ADVAIR DIS,true,,,,,,1/1,01/01/2019,35.6411,-79.8431,POINT (-79.8431 35.6411),00173069600
MCOU,XX,00487,9901,02,2019,2,ALBUTEROL,false,"1,180.8",197,"6,717.95",724.94,"5,993.01",4/1,04/01/2019,,,,00487990102
MCOU,XX,00173,0695,00,2019,1,ADVAIR 100,false,"1,178,401","18,842","5,741,797.63","5,654,116.98","87,680.65",1/1,01/01/2019,,,,00173069500
FFSU,FL,00713,0635,15,2019,3,MOMETASONE,true,,,,,,7/1,07/01/2019,39.3498,-75.5148,POINT (-75.5148 39.3498),00713063515
MCOU,XX,00186,0372,28,2019,1,SYMBICORT,false,"5,142.5",752,"147,735.59","147,555.91",179.68,1/1,01/01/2019,,,,00186037228
MCOU,XX,63402,0513,24,2019,2,XOPENEX,false,69.6,46,3.36,3.36,0,4/1,04/01/2019,,,,63402051324
MCOU,AR,68462,0225,17,2019,1,MOMETASONE,true,,,,,,1/1,01/01/2019,34.9513,-92.3809,POINT (-92.3809 34.9513),68462022517
MCOU,XX,63402,0512,24,2019,2,XOPENEX,false,104.764,36,985.47,2.91,982.56,4/1,04/01/2019,,,,63402051224
MCOU,XX,00093,7445,01,2019,1,BUDESONIDE,false,"19,572",276,"101,284.52","101,149.14",135.38,1/1,01/01/2019,,,,00093744501
MCOU,NE,00487,9701,30,2019,3,Budesonide,true,,,,,,7/1,07/01/2019,35.6411,-79.8431,POINT (-79.8431 35.6411),00487970130
FFSU,XX,00093,6815,73,2019,2,BUDESONIDE,false,"261,292","2,640","251,611.46","208,482.28","43,129.18",4/1,04/01/2019,,,,00093681573
MCOU,XX,00781,7155,64,2019,1,ALBUTEROL,false,"5,638",376,"1,728.73","1,728.73",0,1/1,01/01/2019,,,,00781715564
MCOU,MN,00591,2510,30,2019,2,BUDESONIDE,true,,,,,,4/1,04/01/2019,43.3504,-84.5603,POINT (-84.5603 43.3504),00591251030
MCOU,XX,49884,0501,01,2019,1,BUDESONIDE,false,"8,581.999",127,"59,117.9","58,314.28",803.62,1/1,01/01/2019,,,,49884050101
FFSU,XX,64980,0442,01,2019,2,ALBUTEROL,false,"2,073",25,"5,802.71","5,795.41",7.3,4/1,04/01/2019,,,,64980044201
FFSU,XX,00591,3797,83,2019,3,ALBUTEROL,false,"446,343.067","2,919","41,064.33","39,384.67","1,679.66",7/1,07/01/2019,,,,00591379783
FFSU,XX,00378,8270,93,2019,2,ALBUTEROL,false,"91,560.344",704,"67,067.17","66,806.2",260.97,4/1,04/01/2019,,,,00378827093
FFSU,OH,68682,0309,30,2019,3,Budesonide,true,,,,,,7/1,07/01/2019,38.4199,-117.1219,POINT (-117.1219 38.4199),68682030930
FFSU,MN,00378,7155,01,2019,3,BUDESONIDE,true,,,,,,7/1,07/01/2019,43.3504,-84.5603,POINT (-84.5603 43.3504),00378715501
MCOU,XX,16714,0829,01,2019,2,BUDESONIDE,false,"39,629",510,"194,225.63","193,026.87","1,198.76",4/1,04/01/2019,,,,16714082901
FFSU,XX,69097,0321,87,2019,2,BUDESONIDE,false,"75,512",820,"296,456.81","267,663.91","28,792.9",4/1,04/01/2019,,,,69097032187
FFSU,XX,00173,0602,00,2019,1,FLOVENT 10,false,504,18,"1,791.66","1,791.66",0,1/1,01/01/2019,,,,00173060200
MCOU,IA,00115,1687,74,2019,1,Budesonide,false,"6,960",87,"9,245.7","9,245.7",0,1/1,01/01/2019,21.1098,-157.5311,POINT (-157.5311 21.1098),00115168774
FFSU,OR,59310,0302,40,2019,1,QVAR BA IN,false,413.4,39,"7,077.02","4,705.54","2,371.48",1/1,01/01/2019,40.3736,-82.7755,POINT (-82.7755 40.3736),59310030240
FFSU,KY,00472,0825,16,2019,1,ALBUTEROL,true,,,,,,1/1,01/01/2019,38.5111,-96.8005,POINT (-96.8005 38.5111),00472082516
MCOU,OR,00115,1689,74,2019,2,Budesonide,false,"2,464",28,"3,362.51","3,140.79",221.72,4/1,04/01/2019,40.3736,-82.7755,POINT (-82.7755 40.3736),00115168974
FFSU,VA,00487,9901,30,2019,3,ALBUTEROL,false,437.2,30,226.75,186.91,39.84,7/1,07/01/2019,35.7449,-86.7489,POINT (-86.7489 35.7449),00487990130
MCOU,TX,00591,3467,53,2019,1,ALBUTEROL,false,"30,386",346,"8,161.67","8,123.93",37.74,1/1,01/01/2019,33.8191,-80.9066,POINT (-80.9066 33.8191),00591346753
MCOU,MN,59310,0304,80,2019,2,QVAR REDIH,false,"13,059.2","1,230","296,608.06","293,103.97","3,504.09",4/1,04/01/2019,43.3504,-84.5603,POINT (-84.5603 43.3504),59310030480
FFSU,IA,59310,0304,80,2019,2,QVAR BA IN,false,159,15,"2,168.26","2,168.26",0,4/1,04/01/2019,21.1098,-157.5311,POINT (-157.5311 21.1098),59310030480
FFSU,CO,00591,3797,60,2019,3,ALBUTEROL,false,"2,809.275",17,259.81,259.81,0,7/1,07/01/2019,36.17,-119.7462,POINT (-119.7462 36.17),00591379760
FFSU,AR,00591,3797,30,2019,3,ALBUTEROL,false,"3,600",14,263.62,263.62,0,7/1,07/01/2019,34.9513,-92.3809,POINT (-92.3809 34.9513),00591379730
MCOU,NV,51862,0582,01,2019,2,BUDESONIDE,true,,,,,,4/1,04/01/2019,40.314,-74.5089,POINT (-74.5089 40.314),51862058201
FFSU,WY,00115,1689,74,2019,2,Budesonide,false,"1,020",13,"1,038.06","1,038.06",0,4/1,04/01/2019,44.0407,-72.7093,POINT (-72.7093 44.0407),00115168974
MCOU,OH,00173,0600,02,2019,2,FLOVENT DI,false,"24,240",400,"70,751.25","70,618.48",132.77,4/1,04/01/2019,38.4199,-117.1219,POINT (-117.1219 38.4199),00173060002
FFSU,SC,00713,0635,37,2019,2,MOMETASONE,true,,,,,,4/1,04/01/2019,40.5773,-77.264,POINT (-77.264 40.5773),00713063537
MCOU,MI,00378,8270,93,2019,2,ALBUTEROL,true,,,,,,4/1,04/01/2019,44.6074,-69.3977,POINT (-69.3977 44.6074),00378827093
FFSU,NC,59310,0204,12,2019,2,QVAR,true,,,,,,4/1,04/01/2019,32.7673,-89.6812,POINT (-89.6812 32.7673),59310020412
MCOU,PA,00173,0696,00,2019,3,ADVAIR DIS,false,"13,260",167,"73,802.08","54,737.99","19,064.09",7/1,07/01/2019,35.5376,-96.9247,POINT (-96.9247 35.5376),00173069600
FFSU,ND,68462,0225,17,2019,1,MOMETASONE,true,,,,,,1/1,01/01/2019,46.9048,-110.3261,POINT (-110.3261 46.9048),68462022517
FFSU,LA,45802,0257,35,2019,3,MOMETASONE,true,,,,,,7/1,07/01/2019,37.669,-84.6514,POINT (-84.6514 37.669),45802025735
FFSU,NC,00591,3797,60,2019,1,ALBUTEROL,false,"80,483.192",317,"5,198.99","5,197.04",1.95,1/1,01/01/2019,32.7673,-89.6812,POINT (-89.6812 32.7673),00591379760
FFSU,GA,00173,0695,00,2019,3,ADVAIR DIS,false,"19,680",328,"103,124.62","102,075.16","1,049.46",7/1,07/01/2019,27.8333,-81.717,POINT (-81.717 27.8333),00173069500
MCOU,MA,00713,0726,15,2019,2,MOMETASONE,false,"3,810",108,"1,520.76","1,352.87",167.89,4/1,04/01/2019,31.1801,-91.8749,POINT (-91.8749 31.1801),00713072615
MCOU,UT,00591,3797,83,2019,1,ALBUTEROL,false,"9,225",72,422.55,418.01,4.54,1/1,01/01/2019,44.2853,-99.4632,POINT (-99.4632 44.2853),00591379783
MCOU,WV,00487,9501,01,2019,1,ALBUTEROL,false,402.41,135,197.6,196.64,0.96,1/1,01/01/2019,18.0001,-64.8199,POINT (-64.8199 18.0001),00487950101
MCOU,VA,00713,0727,37,2019,2,MOMETASONE,false,"4,740",89,"2,092.87","2,065.38",27.49,4/1,04/01/2019,35.7449,-86.7489,POINT (-86.7489 35.7449),00713072737
MCOU,DC,00378,8270,55,2019,2,ALBUTEROL,true,,,,,,4/1,04/01/2019,41.5834,-72.7622,POINT (-72.7622 41.5834),00378827055
FFSU,DC,00173,0696,04,2019,1,ADVAIR 250,true,,,,,,1/1,01/01/2019,41.5834,-72.7622,POINT (-72.7622 41.5834),00173069604
FFSU,WI,00713,0634,37,2019,1,MOMETASONE,false,"2,255",48,"1,571.77","1,503.42",68.35,1/1,01/01/2019,37.768,-78.2057,POINT (-78.2057 37.768),00713063437
FFSU,MD,68462,0192,55,2019,2,MOMETASONE,true,,,,,,4/1,04/01/2019,42.2373,-71.5314,POINT (-71.5314 42.2373),68462019255
FFSU,LA,00093,6816,73,2019,2,BUDESONIDE,false,"10,442",111,"12,796.55","8,278.68","4,517.87",4/1,04/01/2019,37.669,-84.6514,POINT (-84.6514 37.669),00093681673
FFSU,IN,00597,0087,17,2019,2,ATROVENT H,false,"1,780.2",121,"49,547.33","48,340.73","1,206.6",4/1,04/01/2019,40.3363,-89.0022,POINT (-89.0022 40.3363),00597008717
FFSU,TX,66993,0019,68,2019,3,ALBUTEROL,false,"4,302",183,"10,015.87","9,953.45",62.42,7/1,07/01/2019,33.8191,-80.9066,POINT (-80.9066 33.8191),66993001968
FFSU,NJ,76204,0200,30,2019,3,ALBUTEROL,false,"1,740",14,187.23,187.23,0,7/1,07/01/2019,41.1289,-98.2883,POINT (-98.2883 41.1289),76204020030
MCOU,OR,66993,0019,68,2019,3,Albuterol,false,"496,267.5","26,232","1,244,940.65","1,244,744.52",196.13,7/1,07/01/2019,40.3736,-82.7755,POINT (-82.7755 40.3736),66993001968
FFSU,XX,00591,3797,30,2019,3,ALBUTEROL,false,"298,556.528","1,654","23,647.54","21,767.78","1,879.76",7/1,07/01/2019,,,,00591379730
FFSU,PA,00591,3797,83,2019,1,ALBUTEROL,false,"11,655",66,825.67,747.78,77.89,1/1,01/01/2019,35.5376,-96.9247,POINT (-96.9247 35.5376),00591379783
MCOU,XX,24208,0347,20,2019,1,ALBUTEROL,false,34.2,36,"4,533.6",14.95,"4,518.65",1/1,01/01/2019,,,,24208034720
MCOU,VA,00781,7155,29,2019,1,ALBUTEROL,false,"3,420",18,223.16,223.16,0,1/1,01/01/2019,35.7449,-86.7489,POINT (-86.7489 35.7449),00781715529
FFSU,CA,00487,9501,25,2019,2,ALBUTEROL,false,"484,084","4,188","52,901.58","46,625.99","6,275.59",4/1,04/01/2019,33.7712,-111.3877,POINT (-111.3877 33.7712),00487950125
MCOU,NE,00173,0716,22,2019,2,ADVAIR HFA,true,,,,,,4/1,04/01/2019,35.6411,-79.8431,POINT (-79.8431 35.6411),00173071622
FFSU,CO,69238,1344,01,2019,1,ALBUTEROL,true,,,,,,1/1,01/01/2019,36.17,-119.7462,POINT (-119.7462 36.17),69238134401
FFSU,ME,00173,0601,02,2019,3,FLOVENT DI,false,"1,560",25,"6,504.9","6,504.9",0,7/1,07/01/2019,39.0724,-76.7902,POINT (-76.7902 39.0724),00173060102
MCOU,MS,00713,0727,37,2019,3,MOMETASONE,false,"8,865",196,"4,112.68","4,088.68",24,7/1,07/01/2019,38.4623,-92.302,POINT (-92.302 38.4623),00713072737
MCOU,ND,00173,0718,20,2019,1,FLOVENT HF,true,,,,,,1/1,01/01/2019,46.9048,-110.3261,POINT (-110.3261 46.9048),00173071820
MCOU,KS,00173,0716,22,2019,3,ADVAIR HFA,true,,,,,,7/1,07/01/2019,39.8647,-86.2604,POINT (-86.2604 39.8647),00173071622
FFSU,WI,00487,9701,01,2019,2,Budesonide,true,,,,,,4/1,04/01/2019,37.768,-78.2057,POINT (-78.2057 37.768),00487970101
FFSU,TX,00591,3797,60,2019,1,ALBUTEROL,false,"5,997",73,378.98,378.98,0,1/1,01/01/2019,33.8191,-80.9066,POINT (-80.9066 33.8191),00591379760
MCOU,PA,00115,1687,74,2019,1,Budesonide,false,"14,270",254,"29,387.21","28,418.32",968.89,1/1,01/01/2019,35.5376,-96.9247,POINT (-96.9247 35.5376),00115168774
FFSU,DC,00173,0720,20,2019,3,FLOVENT HF,false,"2,508",207,"80,513.74","80,362.74",151,7/1,07/01/2019,41.5834,-72.7622,POINT (-72.7622 41.5834),00173072020
FFSU,AK,65162,0778,10,2019,2,BUDESONIDE,true,,,,,,4/1,04/01/2019,61.385,-152.2683,POINT (-152.2683 61.385),65162077810
FFSU,SD,00591,3797,30,2019,2,ALBUTEROL,true,,,,,,4/1,04/01/2019,18.2766,-66.335,POINT (-66.335 18.2766),00591379730
FFSU,OH,00173,0717,22,2019,1,ADVAIR HFA,true,,,,,,1/1,01/01/2019,38.4199,-117.1219,POINT (-117.1219 38.4199),00173071722
FFSU,ME,59310,0304,80,2019,3,QVAR REDIH,false,"1,812.6",166,"40,834.29","36,684.63","4,149.66",7/1,07/01/2019,39.0724,-76.7902,POINT (-76.7902 39.0724),59310030480
MCOU,FL,00173,0715,20,2019,1,ADVAIR HFA,false,"13,124","1,094","336,018.32","332,951.46","3,066.86",1/1,01/01/2019,39.3498,-75.5148,POINT (-75.5148 39.3498),00173071520
MCOU,MA,00378,8270,91,2019,1,ALBUTEROL,true,,,,,,1/1,01/01/2019,31.1801,-91.8749,POINT (-91.8749 31.1801),00378827091
MCOU,NJ,00591,3467,53,2019,1,ALBUTEROL,false,"4,185",29,"1,128.99","1,128.99",0,1/1,01/01/2019,41.1289,-98.2883,POINT (-98.2883 41.1289),00591346753
FFSU,DE,59310,0580,20,2019,1,PROAIR INH,true,,,,,,1/1,01/01/2019,38.8964,-77.0262,POINT (-77.0262 38.8964),59310058020
FFSU,NV,45802,0118,59,2019,1,MOMETASONE,true,,,,,,1/1,01/01/2019,40.314,-74.5089,POINT (-74.5089 40.314),45802011859
FFSU,MO,00487,9904,25,2019,2,ALBUTEROL,false,"33,931.338",322,"11,801.71","11,710.8",90.91,4/1,04/01/2019,45.7326,-93.9196,POINT (-93.9196 45.7326),00487990425
FFSU,CA,65162,0891,29,2019,3,MOMETASONE,false,833,49,"2,817.96","2,817.96",0,7/1,07/01/2019,33.7712,-111.3877,POINT (-111.3877 33.7712),65162089129
MCOU,XX,00093,6817,19,2019,2,BUDESONIDE,true,,,,,,4/1,04/01/2019,,,,00093681719
MCOU,HI,69097,0319,87,2019,3,BUDESONIDE,false,"5,460",67,"8,304.2","8,304.2",0,7/1,07/01/2019,32.9866,-83.6487,POINT (-83.6487 32.9866),69097031987
MCOU,AR,00713,0727,15,2019,2,MOMETASONE,false,360,18,381.59,381.59,0,4/1,04/01/2019,34.9513,-92.3809,POINT (-92.3809 34.9513),00713072715
MCOU,MI,00713,0727,15,2019,1,MOMETASONE,false,"1,275",40,423.54,423.54,0,1/1,01/01/2019,44.6074,-69.3977,POINT (-69.3977 44.6074),00713072715
MCOU,RI,00713,0635,37,2019,1,MOMETASONE,true,,,,,,1/1,01/01/2019,44.5672,-122.1269,POINT (-122.1269 44.5672),00713063537
MCOU,MA,69097,0319,87,2019,1,BUDESONIDE,false,"7,459",87,"14,203.09","14,133.74",69.35,1/1,01/01/2019,31.1801,-91.8749,POINT (-91.8749 31.1801),69097031987
MCOU,AZ,00487,9701,01,2019,1,BUDESONIDE,false,"1,576",15,"5,297.12","4,515.93",781.19,1/1,01/01/2019,14.2417,-170.7197,POINT (-170.7197 14.2417),00487970101
FFSU,DC,00173,0682,20,2019,1,VENTOLIN H,true,,,,,,1/1,01/01/2019,41.5834,-72.7622,POINT (-72.7622 41.5834),00173068220
FFSU,WI,53489,0177,01,2019,1,ALBUTEROL,true,,,,,,1/1,01/01/2019,37.768,-78.2057,POINT (-78.2057 37.768),53489017701
MCOU,DE,00378,6992,52,2019,1,ALBUTEROL,false,"17,964.291",155,49.08,0,49.08,1/1,01/01/2019,38.8964,-77.0262,POINT (-77.0262 38.8964),00378699252
MCOU,NJ,00378,7155,01,2019,2,BUDESONIDE,false,"2,748",30,"9,908.84","9,280.64",628.2,4/1,04/01/2019,41.1289,-98.2883,POINT (-98.2883 41.1289),00378715501
MCOU,PA,45802,0119,37,2019,3,MOMETASONE,true,,,,,,7/1,07/01/2019,35.5376,-96.9247,POINT (-96.9247 35.5376),45802011937
MCOU,DC,00597,0087,17,2019,2,ATROVENT H,false,774,60,"22,876.75","22,876.75",0,4/1,04/01/2019,41.5834,-72.7622,POINT (-72.7622 41.5834),00597008717
MCOU,DC,68382,0720,01,2019,3,BUDESONIDE,true,,,,,,7/1,07/01/2019,41.5834,-72.7622,POINT (-72.7622 41.5834),68382072001
MCOU,MA,00173,0682,24,2019,1,VENTOLIN H,false,152,19,443.13,406.63,36.5,1/1,01/01/2019,31.1801,-91.8749,POINT (-91.8749 31.1801),00173068224
MCOU,CA,59310,0579,22,2019,3,PROAIR HFA,false,"10,288",991,"74,244.12","71,789.04","2,455.08",7/1,07/01/2019,33.7712,-111.3877,POINT (-111.3877 33.7712),59310057922
